epoch,accuracy,loss
0,0.08780859410762787,1.6501449346542358
1,0.1052345559000969,1.410226583480835
2,0.11017592251300812,1.3541817665100098
3,0.1129777804017067,1.3213382959365845
4,0.11497453600168228,1.29867422580719
5,0.11658427119255066,1.2814061641693115
6,0.11785460263490677,1.267193078994751
7,0.11896654218435287,1.25542151927948
8,0.1199880912899971,1.2451826333999634
9,0.12073259055614471,1.2365163564682007
10,0.1216067522764206,1.2288731336593628
11,0.12222679704427719,1.2216764688491821
12,0.12300118803977966,1.2155340909957886
13,0.12354950606822968,1.2099707126617432
14,0.12411636859178543,1.2047662734985352
15,0.12461741268634796,1.1999082565307617
16,0.12510767579078674,1.1955344676971436
17,0.12554499506950378,1.191164255142212
18,0.12607383728027344,1.187315583229065
19,0.12645912170410156,1.1835707426071167
20,0.12686631083488464,1.1798893213272095
21,0.12723051011562347,1.176803708076477
22,0.12762761116027832,1.1739729642868042
23,0.12793965637683868,1.1711015701293945
24,0.12826630473136902,1.168462872505188
25,0.12850165367126465,1.166035532951355
26,0.12877094745635986,1.1637433767318726
27,0.1290595829486847,1.1611738204956055
28,0.12932991981506348,1.1587245464324951
29,0.12973397970199585,1.1563680171966553
